codigo;descripcion;unidad;capitulo;componentes
PRE-01;Demolición de muro en mampostería;m2;PRELIMINARES;"Oficial de construcción:0.12;Ayudante de construcción:0.25;Herramienta menor:1"
PRE-02;Retiro y cargue de escombros;m3;PRELIMINARES;"Ayudante de construcción:0.35;Volqueta 5 m3:0.2;Acarreo vertical de materiales:1"
EST-01;Mampostería en bloque n.º 5;m2;ESTRUCTURA;"Bloque n.º 5 perforado, 12x20x40:12.5;Cemento gris uso general 50 kg:0.35;Arena de río lavada:0.035;Oficial de construcción:0.28;Ayudante de construcción:0.28;Mezcladora de concreto 1 saco:0.08;Herramienta menor:1"
EST-02;Pañete impermeabilizado sobre muro;m2;ESTRUCTURA;"Cemento gris uso general 50 kg:0.22;Arena de río lavada:0.022;Impermeabilizante integral:0.25;Oficial de construcción:0.16;Ayudante de construcción:0.16;Herramienta menor:1"
ACA-01;Enchape de piso en porcelanato 60x60;m2;ACABADOS;"Porcelanato 60x60, tráfico alto:1.08;Adhesivo para porcelanato 25 kg:0.18;Boquilla premium color:0.35;Oficial enchapador:0.22;Ayudante de construcción:0.22;Pulidora con disco diamantado:0.05;Herramienta menor:1"
ACA-02;Enchape de pared en cerámica 30x60;m2;ACABADOS;"Cerámica pared 30x60:1.1;Adhesivo para porcelanato 25 kg:0.2;Boquilla premium color:0.3;Oficial enchapador:0.26;Ayudante de construcción:0.26;Herramienta menor:1"
ACA-03;Estuco y pintura sobre muro;m2;ACABADOS;"Estuco plástico:0.12;Pintura vinilo tipo 1:0.09;Oficial pintor:0.14;Ayudante de construcción:0.09;Andamio certificado (cuerpo):0.05;Herramienta menor:1"
ACA-04;Instalación de guardaescoba MDF;ml;ACABADOS;"Guardaescoba MDF 10 cm:1.05;Oficial de construcción:0.06;Herramienta menor:1"
INS-01;Punto hidráulico PVC sanitario;und;INSTALACIONES;"Tubería PVC sanitaria 4"":3.2;Oficial de construcción:0.5;Ayudante de construcción:0.5;Herramienta menor:1"
INS-02;Punto eléctrico tomacorriente doble;und;INSTALACIONES;"Cable THHN n.º 12:12;Tomacorriente doble con polo a tierra:1;Oficial electricista:0.4;Ayudante de construcción:0.2;Herramienta menor:1"
